Plot,Trat,Cultivar,Plant,Z1,S1,Z2,S2,Z3,S3,Z4,S4,Z5,S5
E7,A1C3,C,1,0,5,0,12,4,15,,100,,
E7,A1C3,C,2,0,3,0,15,3,10,,,,
E7,A1C3,C,3,0,12,15,30,5,30,,100,,
E7,A1C3,C,4,0,3,2,10,,100,,,,
E7,A1C3,C,5,0,3,0,5,,100,,,,
E7,A1C3,C,6,0,5,3,15,7,45,,,,
E7,A1C3,C,7,0,3,0,20,,100,,,,
E7,A1C3,C,8,0,5,3,15,0,40,,100,,
E7,A1C3,C,9,2,3,4,5,3,15,,100,,
E7,A1C3,C,10,1,7,0,12,10,25,,100,,
E7,A1C3,C,11,0,3,0,5,1,3,,100,,
E7,A1C3,C,12,2,3,0,5,20,40,,100,,
E7,A1C3,C,13,1,3,2,20,20,70,10,50,,
E7,A1C3,C,14,0,5,2,12,7,50,,100,,
E7,A1C3,C,15,1,5,0,7,3,12,15,80,,
E7,A1C3,A,16,2,3,0,3,2,22,,,,
E7,A1C3,A,17,2,5,0,5,15,75,,100,,
E7,A1C3,A,18,2,10,4,7,5,70,,100,,
E7,A1C3,A,19,3,5,3,10,,100,,,,
E7,A1C3,A,20,1,5,0,7,7,70,,,,
E7,A1C3,A,21,3,5,5,10,,100,,,,
E7,A1C3,A,22,0,5,2,5,,100,,,,
E7,A1C3,A,23,3,5,5,40,,100,,,,
E7,A1C3,A,24,2,5,2,5,,100,,,,
E7,A1C3,A,25,2,5,12,20,7,40,,100,,
E7,A1C3,A,26,2,10,3,15,,100,,,,
E7,A1C3,A,27,2,5,2,7,,100,,,,
E7,A1C3,A,28,0,7,7,15,,100,,,,
E7,A1C3,A,29,0,5,7,15,5,70,,,,
E8,A1C1,C,1,0,10,0,15,30,70,,,,
E8,A1C1,C,2,0,5,0,15,0,5,,100,,
E8,A1C1,C,3,0,5,2,10,12,40,,100,,
E8,A1C1,C,4,0,3,0,5,2,10,,100,,
E8,A1C1,C,5,0,3,3,15,3,10,2,20,,
E8,A1C1,C,6,1,2,0,12,7,30,,100,,
E8,A1C1,C,7,0,10,1,10,,100,,,,
E8,A1C1,C,8,0,3,0,15,0,5,,100,,
E8,A1C1,C,9,0,5,0,15,10,70,,100,,
E8,A1C1,C,10,3,5,1,7,25,40,,100,,
E8,A1C1,C,11,0,10,0,12,,100,,,,
E8,A1C1,C,12,0,3,0,12,,100,,,,
E8,A1C1,C,13,0,2,4,10,2,5,,100,,
E8,A1C1,C,14,0,4,0,5,,100,,,,
E8,A1C1,C,15,0,5,0,5,,100,,,,
E8,A1C1,A,16,5,6,5,10,,100,,,,
E8,A1C1,A,17,2,5,5,30,,100,,,,
E8,A1C1,A,18,3,5,3,7,,100,,,,
E8,A1C1,A,19,2,5,3,5,15,80,,100,,
E8,A1C1,A,20,2,5,2,5,,100,,,,
E8,A1C1,A,21,4,15,5,10,,100,,,,
E8,A1C1,A,22,4,10,7,15,15,50,,,,
E8,A1C1,A,23,3,5,7,20,15,50,,100,,
E8,A1C1,A,24,3,5,5,10,7,80,,100,,
E8,A1C1,A,25,3,5,5,25,,100,,,,
E8,A1C1,A,26,5,10,10,20,20,50,,100,,
E8,A1C1,A,27,3,5,4,7,25,50,,100,,
E8,A1C1,A,28,3,7,7,20,,100,,,,
E8,A1C1,A,29,3,5,5,15,,100,,,,
E8,A1C1,A,30,1,5,5,50,,100,,,,
E9,A3C1,C,1,0,5,0,7,5,25,,100,,
E9,A3C1,C,2,0,2,2,5,15,60,20,95,,100
E9,A3C1,C,3,0,2,0,15,2,5,,,,
E9,A3C1,C,4,0,5,0,20,20,50,,100,,
E9,A3C1,C,5,0,2,0,5,0,5,10,95,,100
E9,A3C1,C,6,0,2,0,7,0,5,,100,,
E9,A3C1,C,7,0,5,0,5,0,5,20,50,,100
E9,A3C1,C,8,0,2,0,5,10,20,,100,,
E9,A3C1,C,9,0,5,0,40,0,25,,100,,
E9,A3C1,C,10,0,3,0,10,0,50,,100,,
